1 | Tackle | normal | physical | 35 | 50 | 100
2 | Mirror Move | flying | other | 20 | 0 | 0
3 | Horn Leech | grass | physical | 10 | 75 | 100
4 | Thief | dark | physical | 25 | 60 | 100
5 | Acupressure | normal | other | 30 | 0 | 0
6 | Brine | water | special | 10 | 65 | 100
7 | Magic Coat | psychic | other | 15 | 0 | 0
8 | Trick-or-Treat | ghost | other | 20 | 0 | 100
9 | Rock Climb | normal | physical | 20 | 90 | 85
10 | Phantom Force | ghost | physical | 10 | 90 | 100
11 | Feather Dance | flying | other | 15 | 0 | 100
12 | Sing | normal | other | 15 | 0 | 55
13 | Detect | fighting | other | 5 | 0 | 0
14 | Spite | ghost | other | 10 | 0 | 100
15 | Sludge | poison | special | 20 | 65 | 100
16 | Scratch | normal | physical | 35 | 40 | 100
17 | Transform | normal | other | 10 | 0 | 0
18 | Yawn | normal | other | 10 | 0 | 0
19 | Play Nice | normal | other | 20 | 0 | 0
20 | Night Shade | ghost | special | 15 | 1 | 100
21 | Cross Chop | fighting | physical | 5 | 100 | 80
22 | Counter | fighting | physical | 20 | 1 | 100
23 | Double Kick | fighting | physical | 30 | 30 | 100
24 | Hex | ghost | special | 10 | 65 | 100
25 | Screech | normal | other | 40 | 0 | 85
26 | Powder | bug | other | 20 | 0 | 100
27 | Imprison | psychic | other | 10 | 0 | 0
28 | Heal Bell | normal | other | 5 | 0 | 0
29 | Snatch | dark | other | 10 | 0 | 0
30 | Belch | poison | special | 10 | 120 | 90
31 | Clamp | water | physical | 15 | 35 | 85
32 | Sharpen | normal | other | 30 | 0 | 0
33 | Feint | normal | physical | 10 | 30 | 100
34 | Tickle | normal | other | 20 | 0 | 100
35 | Ominous Wind | ghost | special | 5 | 60 | 100
36 | Sky Uppercut | fighting | physical | 15 | 85 | 90
37 | Magnitude | ground | physical | 30 | 1 | 100
38 | Submission | fighting | physical | 25 | 80 | 80
39 | Shadow Ball | ghost | special | 15 | 80 | 100
40 | Parting Shot | dark | other | 20 | 0 | 100
41 | Perish Song | normal | other | 5 | 0 | 0
42 | Nature Power | normal | other | 20 | 0 | 0
43 | Smog | poison | special | 20 | 30 | 70
44 | Confide | normal | other | 20 | 0 | 0
45 | Protect | normal | other | 10 | 0 | 0
46 | Confuse Ray | ghost | other | 10 | 0 | 100
47 | Quick Guard | fighting | other | 15 | 0 | 0
48 | Flying Press | fighting | physical | 10 | 80 | 95
49 | Bulk Up | fighting | other | 20 | 0 | 0
50 | Shadow Claw | ghost | physical | 15 | 70 | 100
51 | Tail Slap | normal | physical | 10 | 25 | 85
52 | Encore | normal | other | 5 | 0 | 100
53 | Crush Grip | normal | physical | 5 | 1 | 100
54 | Hold Hands | normal | other | 40 | 0 | 0
55 | Magma Storm | fire | special | 5 | 100 | 75
56 | Future Sight | psychic | special | 10 | 120 | 100
57 | Spider Web | bug | other | 10 | 0 | 0
58 | Psych Up | normal | other | 10 | 0 | 0
59 | Slam | normal | physical | 20 | 80 | 75
60 | Hyper Fang | normal | physical | 15 | 80 | 90
61 | Heat Crash | fire | physical | 10 | 1 | 100
62 | Mean Look | normal | other | 5 | 0 | 0
63 | Teeter Dance | normal | other | 20 | 0 | 100
64 | Destiny Bond | ghost | other | 5 | 0 | 0
65 | Storm Throw | fighting | physical | 10 | 60 | 100
66 | Strength | normal | physical | 15 | 80 | 100
67 | Jump Kick | fighting | physical | 10 | 100 | 95
68 | Shadow Sneak | ghost | physical | 30 | 40 | 100
69 | Natural Gift | normal | physical | 15 | 1 | 100
70 | Disable | normal | other | 20 | 0 | 100
71 | Headbutt | normal | physical | 15 | 70 | 100
72 | Facade | normal | physical | 20 | 70 | 100
73 | Memento | dark | other | 10 | 0 | 100
74 | Doom Desire | steel | special | 5 | 140 | 100
75 | Attract | normal | other | 15 | 0 | 100
76 | Lunar Dance | psychic | other | 10 | 0 | 0
77 | Techno Blast | normal | special | 5 | 120 | 100
78 | Rock Wrecker | rock | physical | 5 | 150 | 90
79 | Venom Drench | poison | other | 20 | 0 | 100
80 | Baton Pass | normal | other | 40 | 0 | 0
81 | Shadow Force | ghost | physical | 5 | 120 | 100
82 | Vital Throw | fighting | physical | 10 | 70 | 0
83 | Wide Guard | rock | other | 10 | 0 | 0
84 | Secret Sword | fighting | special | 10 | 85 | 100
85 | Astonish | ghost | physical | 15 | 30 | 100
86 | Growth | normal | other | 20 | 0 | 0
87 | Block | normal | other | 5 | 0 | 0
88 | Wild Charge | electric | physical | 15 | 90 | 100
89 | Return | normal | physical | 20 | 1 | 100
90 | Superpower | fighting | physical | 5 | 120 | 100
91 | Eerie Impulse | electric | other | 15 | 0 | 100
92 | Flail | normal | physical | 15 | 1 | 100
93 | Drill Run | ground | physical | 10 | 80 | 95
94 | Rest | psychic | other | 10 | 0 | 0
95 | Embargo | dark | other | 15 | 0 | 100
96 | Wish | normal | other | 10 | 0 | 0
97 | Lick | ghost | physical | 30 | 30 | 100
98 | Dynamic Punch | fighting | physical | 5 | 100 | 50
99 | Bullet Punch | steel | physical | 30 | 40 | 100
100 | Aura Sphere | fighting | special | 20 | 80 | 0
101 | Shadow Punch | ghost | physical | 20 | 60 | 0
102 | Trump Card | normal | special | 5 | 1 | 0
103 | Dark Void | dark | other | 10 | 0 | 80
104 | Magnetic Flux | electric | other | 20 | 0 | 0
105 | Skull Bash | normal | physical | 10 | 130 | 100
106 | Echoed Voice | normal | special | 15 | 40 | 100
107 | Wake-Up Slap | fighting | physical | 10 | 70 | 100
108 | Captivate | normal | other | 20 | 0 | 100
109 | Double-Edge | normal | physical | 15 | 120 | 100
110 | Last Resort | normal | physical | 5 | 140 | 100
111 | Dragon Dance | dragon | other | 20 | 0 | 0
112 | Simple Beam | normal | other | 15 | 0 | 100
113 | Assist | normal | other | 20 | 0 | 0
114 | Nightmare | ghost | other | 15 | 0 | 100
115 | Triple Kick | fighting | physical | 10 | 10 | 90
116 | Dig | ground | physical | 10 | 80 | 100
117 | Razor Leaf | grass | physical | 25 | 55 | 95
118 | Conversion 2 | normal | other | 30 | 0 | 0
119 | Mat Block | fighting | other | 15 | 0 | 0
120 | Sand Attack | ground | other | 15 | 0 | 100
121 | Cosmic Power | psychic | other | 20 | 0 | 0
122 | Endure | normal | other | 10 | 0 | 0
123 | Mega Kick | normal | physical | 5 | 120 | 75
124 | Dragon Tail | dragon | physical | 10 | 60 | 90
125 | Flatter | dark | other | 15 | 0 | 100
126 | Defense Curl | normal | other | 40 | 0 | 0
127 | Close Combat | fighting | physical | 5 | 120 | 100
128 | Ingrain | grass | other | 20 | 0 | 0
129 | Toxic | poison | other | 10 | 0 | 90
130 | Belly Drum | normal | other | 10 | 0 | 0
131 | Focus Blast | fighting | special | 5 | 120 | 70
132 | Zen Headbutt | psychic | physical | 15 | 80 | 90
133 | Seismic Toss | fighting | physical | 20 | 1 | 100
134 | Vacuum Wave | fighting | special | 30 | 40 | 100
135 | Self-Destruct | normal | physical | 5 | 200 | 100
136 | Poison Gas | poison | other | 40 | 0 | 90
137 | Cotton Guard | grass | other | 10 | 0 | 0
138 | Smelling Salts | normal | physical | 10 | 70 | 100
139 | Bestow | normal | other | 15 | 0 | 0
140 | Acid Armor | poison | other | 20 | 0 | 0
141 | Soak | water | other | 20 | 0 | 100
142 | Rototiller | ground | other | 10 | 0 | 0
143 | Fury Attack | normal | physical | 20 | 15 | 85
144 | Constrict | normal | physical | 35 | 10 | 100
145 | Moonlight | fairy | other | 5 | 0 | 0
146 | Forest's Curse | grass | other | 20 | 0 | 100
147 | Pain Split | normal | other | 20 | 0 | 0
148 | Mach Punch | fighting | physical | 30 | 40 | 100
149 | Lava Plume | fire | special | 15 | 80 | 100
150 | Thunder Fang | electric | physical | 15 | 65 | 95
151 | Rolling Kick | fighting | physical | 15 | 60 | 85
152 | Retaliate | normal | physical | 5 | 70 | 100
153 | Psychic | psychic | special | 10 | 90 | 100
154 | Quiver Dance | bug | other | 20 | 0 | 0
155 | Crunch | dark | physical | 15 | 80 | 100
156 | Frustration | normal | physical | 20 | 1 | 100
157 | Foresight | normal | other | 40 | 0 | 0
158 | Grudge | ghost | other | 5 | 0 | 0
159 | Steamroller | bug | physical | 20 | 65 | 100
160 | Power Trick | psychic | other | 10 | 0 | 0
161 | Entrainment | normal | other | 15 | 0 | 100
162 | Metronome | normal | other | 10 | 0 | 0
163 | Brick Break | fighting | physical | 15 | 75 | 100
164 | Aqua Tail | water | physical | 10 | 90 | 90
165 | Hurricane | flying | special | 10 | 110 | 70
166 | Circle Throw | fighting | physical | 10 | 60 | 90
167 | Me First | normal | other | 20 | 1 | 0
168 | Kinesis | psychic | other | 15 | 0 | 80
169 | Calm Mind | psychic | other | 20 | 0 | 0
170 | Crabhammer | water | physical | 10 | 100 | 90
171 | Thunder Wave | electric | other | 20 | 0 | 100
172 | Snore | normal | special | 15 | 50 | 100
173 | Harden | normal | other | 30 | 0 | 0
174 | Synthesis | grass | other | 5 | 0 | 0
175 | Power Whip | grass | physical | 10 | 120 | 85
176 | Worry Seed | grass | other | 10 | 0 | 100
177 | Recycle | normal | other | 10 | 0 | 0
178 | High Jump Kick | fighting | physical | 10 | 130 | 90
179 | Stockpile | normal | other | 20 | 0 | 0
180 | Ice Ball | ice | physical | 20 | 30 | 90
181 | Fury Swipes | normal | physical | 15 | 18 | 80
182 | Reversal | fighting | physical | 15 | 1 | 100
183 | Guillotine | normal | physical | 5 | 1 | 30
184 | Baby-Doll Eyes | fairy | other | 30 | 0 | 100
185 | Head Charge | normal | physical | 15 | 120 | 100
186 | Aqua Ring | water | other | 20 | 0 | 0
187 | Sky Drop | flying | physical | 10 | 60 | 100
188 | Lock-On | normal | other | 5 | 0 | 0
189 | Swagger | normal | other | 15 | 0 | 90
190 | Curse | ghost | other | 10 | 0 | 0
191 | Nasty Plot | dark | other | 20 | 0 | 0
192 | Hyper Voice | normal | special | 10 | 90 | 100
193 | Extreme Speed | normal | physical | 5 | 80 | 100
194 | Odor Sleuth | normal | other | 40 | 0 | 0
195 | Scald | water | special | 15 | 80 | 100
196 | Force Palm | fighting | physical | 10 | 60 | 100
197 | Leaf Blade | grass | physical | 15 | 90 | 100
198 | Roar | normal | other | 20 | 0 | 0
199 | Horn Attack | normal | physical | 25 | 65 | 100
200 | After You | normal | other | 15 | 0 | 0
201 | Reflect | psychic | other | 20 | 0 | 0
202 | Seed Bomb | grass | physical | 15 | 80 | 100
203 | Toxic Spikes | poison | other | 20 | 0 | 0
204 | Agility | psychic | other | 30 | 0 | 0
205 | Bone Rush | ground | physical | 10 | 25 | 90
206 | Lucky Chant | normal | other | 30 | 0 | 0
207 | Razor Wind | normal | special | 10 | 80 | 100
208 | Grass Whistle | grass | other | 15 | 0 | 55
209 | Low Sweep | fighting | physical | 20 | 65 | 100
210 | Rock Throw | rock | physical | 15 | 50 | 90
211 | Milk Drink | normal | other | 10 | 0 | 0
212 | Outrage | dragon | physical | 10 | 120 | 100
213 | Mega Punch | normal | physical | 20 | 80 | 85
214 | Autotomize | steel | other | 15 | 0 | 0
215 | Secret Power | normal | physical | 20 | 70 | 100
216 | Stun Spore | grass | other | 30 | 0 | 75
217 | Metal Sound | steel | other | 40 | 0 | 85
218 | Relic Song | normal | special | 10 | 75 | 100
219 | Tailwind | flying | other | 15 | 0 | 0
220 | Wring Out | normal | special | 5 | 1 | 100
221 | Knock Off | dark | physical | 25 | 65 | 100
222 | Pay Day | normal | physical | 20 | 40 | 100
223 | Giga Impact | normal | physical | 5 | 150 | 90
224 | Sacred Sword | fighting | physical | 15 | 90 | 100
225 | Leech Seed | grass | other | 10 | 0 | 90
226 | Sticky Web | bug | other | 20 | 0 | 0
227 | Sonic Boom | normal | special | 20 | 1 | 90
228 | Blaze Kick | fire | physical | 10 | 85 | 90
229 | Bone Club | ground | physical | 20 | 65 | 85
230 | Aromatherapy | grass | other | 5 | 0 | 0
231 | Swift | normal | special | 20 | 60 | 0
232 | Miracle Eye | psychic | other | 40 | 0 | 0
233 | Focus Punch | fighting | physical | 20 | 150 | 100
234 | Growl | normal | other | 40 | 0 | 100
235 | Splash | normal | other | 40 | 0 | 0
236 | Magnet Rise | electric | other | 10 | 0 | 0
237 | Stone Edge | rock | physical | 5 | 100 | 80
238 | Gear Grind | steel | physical | 15 | 50 | 85
239 | Barrage | normal | physical | 20 | 15 | 85
240 | Dragon Rush | dragon | physical | 10 | 100 | 75
241 | Sweet Scent | normal | other | 20 | 0 | 100
242 | Night Slash | dark | physical | 15 | 70 | 100
243 | String Shot | bug | other | 40 | 0 | 95
244 | Scary Face | normal | other | 10 | 0 | 100
245 | Weather Ball | normal | special | 10 | 50 | 100
246 | U-turn | bug | physical | 20 | 70 | 100
247 | Bite | dark | physical | 25 | 60 | 100
248 | Mist | ice | other | 30 | 0 | 0
249 | Horn Drill | normal | physical | 5 | 1 | 30
250 | Spore | grass | other | 15 | 0 | 100
251 | Arm Thrust | fighting | physical | 20 | 15 | 100
252 | Tail Whip | normal | other | 30 | 0 | 100
253 | Double Hit | normal | physical | 10 | 35 | 90
254 | Meditate | psychic | other | 40 | 0 | 0
255 | Karate Chop | fighting | physical | 25 | 50 | 100
256 | Megahorn | bug | physical | 10 | 120 | 85
257 | Howl | normal | other | 40 | 0 | 0
258 | Heavy Slam | steel | physical | 10 | 1 | 100
259 | Supersonic | normal | other | 20 | 0 | 55
260 | Rock Tomb | rock | physical | 15 | 60 | 95
261 | Telekinesis | psychic | other | 15 | 0 | 0
262 | Octazooka | water | special | 10 | 65 | 85
263 | Struggle | normal | physical | 1 | 50 | 0
264 | Freeze Shock | ice | physical | 5 | 140 | 90
265 | Shift Gear | steel | other | 10 | 0 | 0
266 | Hold Back | normal | physical | 40 | 40 | 100
267 | Mud-Slap | ground | special | 10 | 20 | 100
268 | Grass Knot | grass | special | 20 | 1 | 100
